epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_balanced_acc,epoch_time_s,peak_gpu_mb
1,3.3699661743741074,0.10123424369747899,0.08428200788407766,2.929273418528858,0.19015350573917852,0.14731674447613965,0.1867429738166094,33.68,15941.4
2,2.5419924499607887,0.28157825630252103,0.2599815272689839,2.3775930836592747,0.3173834877610289,0.2794737284656259,0.31368091369684603,30.76,15941.4
3,1.9289559055777157,0.4447872899159664,0.43080871763660894,1.7009754474686316,0.5257917300511685,0.5171894074938395,0.5263312087274163,31.56,15941.4
4,1.5061577578552632,0.5707064075630253,0.5648568488668211,1.405239914186003,0.6116719679159176,0.6049251740445964,0.6150278326226057,30.95,15941.4
5,1.2251703543823307,0.6578256302521008,0.6561092788475464,1.2241353940179018,0.6480431475591204,0.6372156042252857,0.6533638198018126,31.17,15941.4
6,1.0163665198478378,0.7125131302521008,0.7127548493511721,1.0089421543058164,0.7160835292490665,0.7180565303952416,0.7212375124985919,31.15,15941.4
7,0.8470670485696873,0.7605698529411765,0.76214238916033,1.1541313579049188,0.6575853962107592,0.6468721110056084,0.6597453891234185,30.97,15941.4
8,0.7210255195112789,0.7932313550420168,0.7956468740127172,0.7597657486852019,0.7827409763518186,0.7838613134751723,0.7876763226467376,31.17,15941.4
9,0.6051219150799663,0.8289456407563025,0.8311310442247828,0.7542413725775153,0.7780389987553589,0.7819347145797579,0.7821102794275984,31.09,15941.4
10,0.535072947249693,0.8436515231092437,0.8465465786257272,0.5890368893423148,0.8346010233715945,0.8396440084396215,0.8387260676953068,31.02,15941.4
11,0.47103552307401386,0.8628216911764706,0.8656715990492727,0.5524042470172272,0.8387498271331766,0.8428531117927299,0.8438100120953368,31.11,15941.4
12,0.42718393311781044,0.8762473739495799,0.8789350456616207,0.4988026473510976,0.8593555524823676,0.8635936222631757,0.86363116974188,31.16,15941.4
13,0.3865525707477281,0.8883928571428571,0.8910755235117265,0.49473951600956695,0.85880237864749,0.8629214984831004,0.8622000850868989,31.01,15941.4
14,0.34164532530708475,0.9003742121848739,0.9029915143337786,0.4140766231849833,0.8820356797123496,0.8852000258724039,0.8857478363637536,30.86,15941.4
15,0.31370641616713096,0.9098936449579832,0.9121575805445983,0.46247934261853396,0.8665468123357766,0.8700638725159625,0.8688922232463278,30.89,15941.4
16,0.2839645113514251,0.9178374474789915,0.9201679307410562,0.3890225264545035,0.8889503526483198,0.8923196655085819,0.89248063598551,31.09,15941.4
17,0.2646299024589923,0.9237460609243697,0.9260281119959918,0.39792108607067966,0.8877057115198451,0.8904601066766741,0.8910160630460877,30.73,15941.4
18,0.2411454506531483,0.9309020483193278,0.9329212590580029,0.39323095450376905,0.8877057115198451,0.8903993331203761,0.8900144737570138,30.63,15941.4
19,0.23023235910579937,0.9318868172268907,0.9340186751699362,0.35549750418406506,0.8997372424284331,0.9024922406560989,0.9026528198437173,30.91,15941.4
20,0.204765032006412,0.9411436449579832,0.9430090664482738,0.3283704327026058,0.9103858387498271,0.9133228446656209,0.9132720304434574,30.95,15941.4
21,0.19023905262476257,0.9453125,0.947118758385533,0.33019846127564406,0.9059604480708062,0.9090756457088439,0.9080119802852498,30.5,15941.4
22,0.17490382404888377,0.9502363445378151,0.9520320189433354,0.32149120332327247,0.9145346425114093,0.9172342037918942,0.9169573262320627,30.93,15941.4
23,0.16262041908853195,0.9525997899159664,0.9543281259753673,0.3092886996687967,0.913428294841654,0.9157362877562102,0.9157714342559675,30.66,15941.4
24,0.14809537747827897,0.9584099264705882,0.9599819606511373,0.28316924684836714,0.9202046743189047,0.9226645650180693,0.9219620045758206,31.0,15941.4
25,0.1415970523317321,0.9611672794117647,0.9626817673775694,0.3926427464088848,0.8882588853547227,0.8890957935180915,0.8898039263484202,30.93,15941.4
26,0.1333183507834162,0.9639246323529411,0.965325872377393,0.2838219851626349,0.9215876089060987,0.923701418379379,0.9243649055014798,30.63,15941.4
27,0.12458548607195125,0.9650407037815126,0.9664805013633542,0.2654891184192033,0.9271193472548749,0.928417225083442,0.929072700935522,30.79,15941.4
28,0.11322864789922699,0.9688813025210085,0.9703075078753861,0.2623899599202127,0.9303000968054211,0.9320902657361391,0.9321894112248396,30.89,15941.4
29,0.10263421449090253,0.9717371323529411,0.9729337749186204,0.2718260237750564,0.9258747061264002,0.9279197923203474,0.9278941763094195,30.79,15941.4
30,0.09781552381625697,0.972984506302521,0.9742192472771833,0.2185459133284482,0.938182823952427,0.9402397152525837,0.9402429651439146,30.8,15941.4
31,0.08513331588576822,0.977875525210084,0.9788664691950825,0.2218796425747469,0.9402572258332181,0.9418645748353743,0.942007281804499,30.9,15941.4
32,0.07816174313300799,0.9804030987394958,0.98125134612911,0.2175845064788484,0.9420550407965703,0.9434799139585631,0.9433854394273598,30.87,15941.4
33,0.07475215199739993,0.9812565651260504,0.9821300801647652,0.21985535601200593,0.9412252800442539,0.9427013597766036,0.9428306636994888,31.07,15941.4
34,0.06796177172986399,0.9826024159663865,0.9833684871478767,0.2088827277479487,0.9430230950076062,0.9443308803180797,0.9445082383068134,30.88,15941.4
35,0.060617750260133704,0.9856223739495799,0.9864219689016043,0.20150439460574962,0.9480016595215046,0.9497025334589132,0.949591049619254,30.9,15941.4
36,0.055772672477765246,0.9875919117647058,0.9881667330882357,0.1973828581258265,0.9473101922279076,0.9492362799275296,0.9489275248324986,30.89,15941.4
37,0.05127304277437575,0.9887408088235294,0.9894035849531679,0.20463939147929633,0.9455123772645554,0.9471635105475995,0.9470250540116072,30.76,15941.4
38,0.04728410418043617,0.9891675420168067,0.9897087501603163,0.19755857285663903,0.9467570183930301,0.9482869016789234,0.9483603793490393,30.68,15941.4
39,0.042469756349044686,0.9911042542016807,0.9915253921944892,0.19159709313007794,0.9489697137325405,0.950434042029991,0.9504750759458931,31.12,15941.4
40,0.03933471784058238,0.9922859768907563,0.992685998899435,0.19302080797404772,0.9507675286958926,0.9521183228827458,0.9519125910203485,30.68,15941.4
41,0.03553301282227039,0.993500525210084,0.9938744865579354,0.1879944930074868,0.9518738763656479,0.9528030256106058,0.952921835120936,30.95,15941.4
42,0.032773708259420734,0.9937959558823529,0.9941416866522235,0.18258787153329678,0.9539482782464389,0.9547314720352312,0.9547072119068353,31.05,15941.4
43,0.029531139262145806,0.9955028886554622,0.9957481420772365,0.1890238436602768,0.9522887567418061,0.9537048390403386,0.9534775230182735,30.86,15941.4
44,0.028014283165523485,0.9955357142857143,0.9958149080398899,0.18196430766076374,0.9538099847877195,0.9552113366668099,0.9549006033765648,30.86,15941.4
45,0.025582101931717217,0.9963235294117647,0.9965002652684921,0.1778864342785775,0.9549163324574748,0.9561521744371541,0.9561840160542348,30.78,15941.4
46,0.02419597394920948,0.9967502626050421,0.9969436356197807,0.17982824773004386,0.9543631586225971,0.9553611412373044,0.9553169510285534,30.71,15941.4
47,0.022585762210753785,0.9972098214285714,0.9973751458108301,0.17606561165856813,0.9547780389987554,0.9557329846019863,0.9557909840138489,30.99,15941.4
48,0.021157446262591025,0.9973411239495799,0.9974813062590365,0.17571301918511337,0.9545014520813165,0.9556699092814511,0.9555677311563794,31.05,15941.4
49,0.0206374911700978,0.9975380777310925,0.9976819371579526,0.17256433161676482,0.9565758539621076,0.9576061284315076,0.9575846332834514,30.96,15941.4
50,0.02005112459178732,0.9976365546218487,0.997782892200829,0.1740824246209549,0.95602268012723,0.9570900597862677,0.9570569230328276,30.88,15941.4
