epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_balanced_acc,epoch_time_s,peak_gpu_mb
1,0.38973785265504074,0.8894856770833334,0.7976658332516393,0.08935623442108762,0.9712462210278804,0.9323862428045339,0.9677170173642355,49.13,11875.1
2,0.10239723054110073,0.9787733289930556,0.9348614822395007,0.12635940433263695,0.959825327510917,0.9360004017742254,0.9815290195836457,47.84,11875.1
3,0.06002958377292897,0.9889729817708334,0.9542852991382892,0.07251297994673014,0.9793080282163251,0.950896744351017,0.9800732544821605,48.14,11875.1
4,0.04939237439612043,0.9926215277777778,0.9641244295193087,0.03642484828664126,0.9893181054753107,0.9589428132589148,0.9876129569477332,47.81,11875.1
5,0.03464883869512252,0.9933403862847222,0.9705810479154722,0.09203824691503419,0.9754786698018139,0.955954330453217,0.9837622061338251,48.05,11875.1
6,0.03067485001217089,0.9945339626736112,0.9748316833125267,0.041746610395345586,0.9877057440376218,0.9628205024534385,0.9928609302593591,48.05,11875.1
7,0.02075440845944993,0.9951714409722222,0.9787243666647917,0.1362012542575912,0.9669465905273765,0.9581040242273001,0.9832601596891235,47.83,11875.1
8,0.020724963070885376,0.9954969618055556,0.9818064118048297,0.06228364744040393,0.9857574739670809,0.966240470471852,0.98797648791307,48.02,11875.1
9,0.02210653522815341,0.996337890625,0.9846521829932139,0.08922697459943714,0.9802485723883104,0.9708964835104463,0.9930218882569525,48.07,11875.1
10,0.017338995729611877,0.9956190321180556,0.9813280992182725,0.035232902274237136,0.9901914679207255,0.9723645128465008,0.9916657302618012,47.97,11875.1
11,0.020374986616742616,0.9961480034722222,0.9822692267846478,0.08753554270792387,0.975142761168962,0.9585246016068794,0.9753197426297149,47.92,11875.1
12,0.026476498751637538,0.9965684678819444,0.9836327749636021,0.03544669853732316,0.9908632851864293,0.9763027628135895,0.9969596725852798,48.04,11875.1
13,0.02318620967210134,0.9968126085069444,0.9855008520949509,0.07620994363850607,0.9793752099428955,0.9507290525451871,0.9892700445939977,48.09,11875.1
14,0.017789054841311252,0.9971923828125,0.9859752020521793,0.054354043455202936,0.9860262008733625,0.9654330675027912,0.9834052386651077,48.06,11875.1
15,0.01936928624420236,0.9975992838541666,0.9908192029855727,0.09504382304719877,0.9780987571380585,0.9648286240601867,0.9902052253205766,47.83,11875.1
16,0.007007924551493893,0.9978162977430556,0.9928376758829308,0.05903195037032104,0.9862949277796439,0.9656238164436323,0.9864610843373137,47.68,11875.1
17,0.022401671469601245,0.9972330729166666,0.9871413745877662,0.09478028624682343,0.9707759489418878,0.9631747792840532,0.9838481358384875,47.87,11875.1
18,0.01311330889206551,0.9976806640625,0.989178564920059,0.1637806841583118,0.964863957003695,0.9572791071502351,0.9876603271615396,48.04,11875.1
19,0.019758153789679354,0.9976128472222222,0.9885788226628862,0.065415475705502,0.9845482028888143,0.961148457764177,0.9875178667501406,47.87,11875.1
20,0.005438123484736934,0.9980333116319444,0.9938733803744781,0.10013653434806352,0.9787033926771918,0.9709712379955439,0.9897878462960972,47.54,11875.1
21,0.023871068778109676,0.9978569878472222,0.9888761597328681,0.07953207532924465,0.9825999328182734,0.9672754165564668,0.9928151073713325,47.78,11875.1
22,0.01157290532648858,0.9979112413194444,0.9912528504354952,0.09224844429563922,0.9795767551226067,0.966961956705606,0.9931730047031843,47.68,11875.1
