epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_balanced_acc,epoch_time_s,peak_gpu_mb
1,3.2015100336737103,0.07061089409722222,0.05327585561280203,2.7224832676223434,0.1645952300974135,0.09895130863222149,0.22078369315579013,73.84,15941.4
2,2.8120613445838294,0.1051974826388889,0.08766665583757838,2.6136591687072714,0.16399059455828016,0.15008627218418674,0.24703481393743223,69.73,15941.4
3,2.65467635790507,0.1298149956597222,0.1105902474971535,2.452645740022105,0.22384951293248237,0.20773922481566875,0.35174811686861646,69.72,15941.4
4,2.541777416235871,0.1533881293402778,0.1281410434152,2.3017314956217834,0.2745045347665435,0.24520376287303658,0.4035527883821386,69.4,15941.4
5,2.448971696611908,0.16722276475694445,0.13593543122686316,2.399399021034638,0.24124958011420894,0.23292849393731088,0.3610552585257158,69.63,15941.4
6,2.402762418405877,0.1773410373263889,0.1450599578592014,2.311645611605069,0.2329190460194827,0.23740102890520384,0.35893557021530365,69.65,15941.4
7,2.3667458655933538,0.1923828125,0.15697789928018127,2.1464881631885153,0.2750419885791065,0.27645080657934695,0.4046952767704218,69.9,15941.4
8,2.2834377590980797,0.2030029296875,0.16727581323338905,2.1130482741558674,0.27188444743029894,0.2834139832182477,0.4168616747818174,69.52,15941.4
9,2.2319530492855444,0.2178683810763889,0.18000168230135843,2.1039455804001537,0.30581121934833727,0.3083297135786245,0.4788353985927869,69.67,15941.4
10,2.1671915960808597,0.2315131293402778,0.1883262777168541,1.9393215460708408,0.32502519314746386,0.33284128378620964,0.48043861981094904,69.9,15941.4
11,2.100630020515786,0.2528618706597222,0.20943617825541422,2.0746055184333243,0.3420221699697682,0.33679987809930084,0.48901258064014697,69.4,15941.4
12,2.0780917215678425,0.2709825303819444,0.21037255550012726,1.771987049844708,0.4022169969768223,0.4302807275328844,0.5510336486409751,69.85,15941.4
13,1.9687605988648202,0.2918565538194444,0.2349191504796182,1.808768463278922,0.3586160564326503,0.3668892537816905,0.5055017236445535,69.54,15941.4
14,1.9156641028821468,0.3098687065972222,0.24832268106574976,1.7401812284794438,0.3944910984212294,0.4249005266859518,0.5580405315507536,69.71,15941.4
15,1.8817495062119431,0.3264024522569444,0.25863110034783177,1.5829782802625354,0.4489754786698018,0.42514970777499533,0.5468894391456874,69.5,15941.4
16,1.7959596253931522,0.3419189453125,0.27608044742534016,1.7240792876568103,0.4313066845817938,0.43714558712103424,0.5855865696717064,69.41,15941.4
17,1.758041707591878,0.3609619140625,0.28563285623523693,1.6157015380340412,0.46852536110178034,0.4547052429808876,0.5995099515517445,69.44,15941.4
18,1.701567467716005,0.3819444444444444,0.3057953716353336,1.5045400807550782,0.5109170305676856,0.5319371195298934,0.6438599251619009,69.33,15941.4
19,1.646014756212632,0.3947075737847222,0.3184184102830789,1.423295514264041,0.5071548538797447,0.4828637968716064,0.6015162877956224,69.06,15941.4
20,1.599681941171487,0.4105631510416667,0.3337691343256154,1.404063817275063,0.5335572724219012,0.5326257251769353,0.6672282574230076,69.59,15941.4
21,1.5218224301934242,0.4267171223958333,0.35080739381866466,1.4247566262387092,0.5089015787705744,0.5413260409443738,0.6529733190912768,69.41,15941.4
22,1.4941794694297843,0.4416368272569444,0.36103991792701234,1.3258750953969036,0.5340947262344642,0.5226891528456352,0.6653316875674324,69.36,15941.4
23,1.4757406477712922,0.4524875217013889,0.3708414295694366,1.2408849201388195,0.5944910984212294,0.5662585661175874,0.693609418816334,69.13,15941.4
24,1.4147763850374355,0.4707709418402778,0.3905881268948091,1.242999545463508,0.563050050386295,0.5944388055397618,0.718554160848355,69.04,15941.4
25,1.368516730558541,0.4814860026041667,0.4008154777939792,1.1938924964738846,0.6001343634531408,0.5656457803508769,0.6961247844579083,69.29,15941.4
26,1.3339199523131053,0.4955783420138889,0.4096201839550396,1.1663659160073907,0.623043332213638,0.6275782929659847,0.7450336056893846,69.21,15941.4
27,1.32519658220311,0.5060085720486112,0.4221588623464355,1.165745486851142,0.5888478333893181,0.5755866007221874,0.719322381253971,69.04,15941.4
28,1.2838559680514865,0.5197075737847222,0.4378893871879894,1.174509748709374,0.5918038293584145,0.5923279547870297,0.7353663765228042,69.4,15941.4
29,1.2369158015482955,0.5289171006944444,0.4449488000478675,1.1425903498906196,0.6448773933490091,0.6193265806932715,0.7481865791154068,69.16,15941.4
30,1.2213032378090753,0.5391574435763888,0.446735365695612,1.060720827045319,0.6434665770910313,0.6240248630793364,0.7581145021842756,69.07,15941.4
31,1.2218079987085528,0.5480414496527778,0.4579505927918623,1.1125321235599075,0.6408464897547868,0.6179048489550673,0.7489473753613686,69.08,15941.4
32,1.1522150056229696,0.5607774522569444,0.47297476000593014,1.0587230637284146,0.6456163923412832,0.622961910486073,0.7592306672210379,69.04,15941.4
33,1.1298382352623675,0.5706651475694444,0.48917618863292933,1.087546874582267,0.6404433993953644,0.6437057251564043,0.7655143318611657,69.13,15941.4
34,1.1019920818507671,0.5782335069444444,0.4917235124543752,1.0377610800448063,0.6710782667114544,0.6566802361818932,0.7729906017454117,69.06,15941.4
35,1.1058828472677205,0.5883246527777778,0.4971056444777741,1.0155231032629402,0.6625461874370171,0.6421358890110763,0.7739185197068514,69.11,15941.4
36,1.0744063382347424,0.5900607638888888,0.5036098253228511,1.0085060022083112,0.6704064494457508,0.6722219854857634,0.7891403377672548,69.13,15941.4
37,1.061019756934709,0.5992838541666666,0.5056893336758795,0.948786306305143,0.6972791400738999,0.6819779475924823,0.7980275136600254,69.09,15941.4
38,1.029362715366814,0.6087510850694444,0.5154787498736599,0.9794675835155183,0.6818273429627142,0.6736143453316981,0.7906876183031325,69.22,15941.4
39,1.0379245206713676,0.6125217013888888,0.5199268824269498,0.9387911891993317,0.7008397715821296,0.6887261429447797,0.8030679749872721,69.21,15941.4
40,1.0067795939329598,0.6185302734375,0.5285563615932544,0.9272740417012121,0.7012428619415519,0.6840244278531593,0.809093628885941,69.31,15941.4
41,1.0055097554706864,0.6224772135416666,0.5261641079168207,0.9458649400700488,0.7032583137386631,0.6872385752196005,0.8103625006661173,69.16,15941.4
42,0.9748836797144678,0.6283772786458334,0.5367648573855571,0.9177078835108075,0.7028552233792409,0.6862609837980248,0.8119955400789755,69.1,15941.4
43,0.9646815231276883,0.6331787109375,0.5434845428095209,0.9049243229205151,0.7089687604971447,0.6937239203113074,0.8165482301160918,69.04,15941.4
44,0.9512239665620856,0.6345757378472222,0.5477518283292383,0.8923540972966575,0.7103123950285523,0.7013757733979326,0.8212211169567128,69.25,15941.4
45,0.95409145206213,0.6368679470486112,0.5497012659090008,0.899917212628181,0.7092374874034263,0.6930563714713356,0.8155786293294057,69.13,15941.4
46,0.9306648288749986,0.6453179253472222,0.5569227402233375,0.8841570556103723,0.7132012092710782,0.6936156506830112,0.8151462069081739,69.25,15941.4
47,0.9370541564292378,0.6456027560763888,0.5595339478671993,0.8726600490042457,0.7149479341619079,0.6975526673436833,0.8142338567625508,69.1,15941.4
48,0.9278343462695678,0.6489664713541666,0.559428128886273,0.8694961914409116,0.7172321128653006,0.6963719569884772,0.8169864795945233,69.22,15941.4
49,0.9295964872257577,0.6489800347222222,0.558480739658137,0.8737234453366913,0.7154182062479005,0.696364866468344,0.8182738246572296,69.16,15941.4
50,0.9169881261057324,0.6510145399305556,0.5588684031529898,0.8757615960801572,0.7157541148807525,0.6976325547315629,0.8187257934542351,69.17,15941.4
