epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_balanced_acc,epoch_time_s,peak_gpu_mb
1,3.1666939498997535,0.16530987394957983,0.15432511702099252,2.4751348967308853,0.39012584704743464,0.37065481183720467,0.38958026095631254,26.83,2066.7
2,2.5664901132343196,0.31499474789915966,0.2985847083051466,2.1097768445081555,0.45733646798506433,0.4366814461480654,0.4583463628666988,27.05,2066.7
3,2.3697531383578516,0.35691307773109243,0.3429489040772373,1.957181140902032,0.49661181026137463,0.4829321285587957,0.49665799481357953,25.82,2066.7
4,2.268908302323157,0.3778558298319328,0.36544054190293085,1.8905673728676986,0.5112709168856313,0.5006427867565272,0.5146226478369431,25.93,2066.7
5,2.245399282759979,0.38744091386554624,0.3754460350584604,1.8876141115204952,0.510164569215876,0.49984126835321663,0.5128911595859243,25.9,2066.7
