epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_balanced_acc,epoch_time_s,peak_gpu_mb
1,1.541624418827666,0.6246389180672269,0.6242181831519112,0.3440954188079924,0.9080348499515973,0.9092920792270852,0.9103826939231968,25.73,10520.2
2,0.37602524597103854,0.8924960609243697,0.8935161975519692,0.1808836637604469,0.9475867791453464,0.9480481292796167,0.948680495998209,31.81,10520.2
3,0.25165338463643017,0.9273897058823529,0.9280171785518089,0.12575494449381147,0.9641819941916747,0.9644007100081217,0.9650976538767927,25.55,10520.2
4,0.2091166275639494,0.938484768907563,0.9388325902136616,0.10548189646754913,0.9697137325404508,0.9699457793252437,0.9703833301322001,25.27,10520.2
5,0.17877793405987635,0.9481355042016807,0.9484575397225397,0.09857833398759258,0.9720647213386807,0.9723940688178316,0.9726634771369979,25.39,10520.2
