epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_balanced_acc,epoch_time_s,peak_gpu_mb
1,1.4118663107647615,0.5938813025210085,0.5889031240619776,0.8597108306619013,0.7337850919651501,0.7239578020357608,0.7348732428202699,25.78,1936.4
2,0.4873855161566694,0.8468356092436975,0.8473629962647288,0.3648249834689374,0.8845249619692989,0.883809842677594,0.8871618397010894,25.2,1936.4
3,0.3344999357682316,0.8923647584033614,0.8933100279266737,0.24140498088679196,0.9222790761996957,0.9219215799529811,0.9237917382854542,25.37,1936.4
4,0.2599041423126429,0.9183954831932774,0.9189176664880079,0.17512290252267268,0.9437145623012032,0.9446158703733526,0.9449831243380139,25.28,1936.4
5,0.22630312350116857,0.9272912289915967,0.9274140348314767,0.16010522246443207,0.9477250726040658,0.9477713740777047,0.948641030215207,25.43,1936.4
