epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_balanced_acc,epoch_time_s,peak_gpu_mb
1,1.204357473179698,0.6735161675347222,0.494171765155903,0.9061615403818557,0.7270406449445751,0.6462889538843647,0.7786764239278579,38.53,1935.3
2,0.42935887610332835,0.8765597873263888,0.7705285661651804,0.45366705830140447,0.8580450117568021,0.7984400955595496,0.8794380673044183,34.04,1935.3
3,0.2568947602218638,0.9250352647569444,0.8458324144882257,0.22670202372604428,0.9256970104131677,0.8838863692827849,0.9458158551102095,33.64,1935.3
4,0.16373848899578056,0.9468722873263888,0.8904904443333777,0.19621121409127967,0.9377225394692643,0.9043953658717291,0.9553490331418817,33.93,1935.3
5,0.13204849154377976,0.9580756293402778,0.9109715678010009,0.17580718498352912,0.9454484380248572,0.9202357001332089,0.9646380706645085,33.67,1935.3
